Source_Image,Object_Type,Confidence,Is_Evidence_Class,Box
1,person,0.9490433931350708,True,"[583, 145, 819, 704]"
1,suitcase,0.8659353256225586,True,"[894, 142, 1178, 424]"
1,backpack,0.8185571432113647,True,"[747, 5, 913, 172]"
1,bottle,0.8130251169204712,True,"[855, 158, 888, 222]"
1,cup,0.776636004447937,True,"[435, 447, 467, 486]"
1,bottle,0.6175968647003174,True,"[573, 142, 601, 212]"
1,handbag,0.5238932371139526,True,"[910, 585, 1009, 684]"
1,cup,0.48020055890083313,True,"[814, 220, 842, 264]"
1,handbag,0.46251797676086426,True,"[459, 356, 543, 451]"
1,handbag,0.3963012993335724,True,"[999, 564, 1107, 673]"
1,bottle,0.39455482363700867,True,"[480, 250, 513, 312]"
1,handbag,0.3563305139541626,True,"[784, 550, 1033, 704]"
1,suitcase,0.35624489188194275,True,"[410, 3, 569, 214]"
1,backpack,0.3530435264110565,True,"[283, 286, 402, 433]"
1,handbag,0.3505820333957672,True,"[962, 488, 1039, 578]"
1,umbrella,0.3433184027671814,False,"[556, 370, 588, 501]"
1,bicycle,0.34283867478370667,False,"[350, 512, 585, 722]"
1,handbag,0.3224448263645172,True,"[342, 422, 433, 500]"
1,suitcase,0.2910556495189667,True,"[459, 356, 543, 452]"
1,suitcase,0.283452570438385,True,"[283, 286, 401, 436]"
1,bottle,0.20721535384655,True,"[425, 239, 460, 303]"
1,bottle,0.11876463145017624,True,"[459, 226, 486, 284]"
1,handbag,0.11666329205036163,True,"[374, 521, 496, 575]"
1,backpack,0.11631372570991516,True,"[347, 561, 466, 656]"
1,umbrella,0.11033937335014343,False,"[439, 189, 467, 251]"
1,cup,0.08921455591917038,True,"[927, 418, 961, 454]"
1,handbag,0.06041362136602402,True,"[347, 561, 466, 654]"
1,book,0.058511607348918915,True,"[811, 459, 885, 534]"
1,handbag,0.057938411831855774,True,"[961, 488, 1107, 672]"
1,cell phone,0.0573541633784771,True,"[431, 320, 469, 363]"
1,bottle,0.04909581318497658,True,"[439, 189, 465, 251]"
1,knife,0.04149862006306648,True,"[556, 370, 585, 502]"
1,handbag,0.03771406412124634,True,"[922, 525, 978, 587]"
1,book,0.034448377788066864,True,"[510, 287, 570, 354]"
1,laptop,0.033881865441799164,False,"[509, 287, 570, 354]"
1,handbag,0.030840059742331505,True,"[556, 370, 587, 501]"
1,handbag,0.030291687697172165,True,"[358, 521, 534, 656]"
1,handbag,0.028848273679614067,True,"[330, 297, 401, 420]"
1,sports ball,0.027819227427244186,False,"[933, 418, 960, 447]"
1,handbag,0.025064030662178993,True,"[844, 352, 891, 398]"
1,backpack,0.023083580657839775,True,"[374, 521, 536, 650]"
1,remote,0.02170844003558159,False,"[788, 416, 802, 451]"
1,cell phone,0.020454389974474907,True,"[844, 352, 891, 399]"
1,backpack,0.019659722223877907,True,"[635, 211, 766, 386]"
1,cup,0.01921391673386097,True,"[923, 525, 966, 567]"
1,backpack,0.018619060516357422,True,"[456, 554, 535, 626]"
1,cup,0.018284017220139503,True,"[431, 319, 469, 363]"
1,backpack,0.016872171312570572,True,"[347, 559, 521, 722]"
1,cell phone,0.016507463529706,True,"[1005, 330, 1066, 366]"
1,backpack,0.016076521947979927,True,"[855, 312, 889, 345]"
1,handbag,0.015427513048052788,True,"[854, 586, 942, 670]"
1,umbrella,0.014822169207036495,False,"[439, 189, 481, 273]"
1,handbag,0.014301521703600883,True,"[485, 493, 592, 557]"
1,backpack,0.012434015981853008,True,"[931, 244, 1031, 345]"
1,book,0.01203077007085085,True,"[1006, 331, 1068, 367]"
1,backpack,0.01155954971909523,True,"[844, 352, 892, 398]"
1,bottle,0.011491958051919937,True,"[440, 232, 467, 290]"
1,backpack,0.011063319630920887,True,"[913, 243, 1077, 376]"
1,handbag,0.01074608601629734,True,"[856, 311, 889, 346]"
1,backpack,0.010059431195259094,True,"[283, 288, 347, 386]"
1,handbag,0.009790840558707714,True,"[456, 551, 535, 626]"
1,handbag,0.008876093663275242,True,"[539, 213, 575, 253]"
1,cell phone,0.008661651983857155,True,"[811, 459, 884, 535]"
1,cell phone,0.00795360840857029,True,"[556, 370, 578, 421]"
1,handbag,0.007868709973990917,True,"[979, 142, 1176, 345]"
1,handbag,0.007711919490247965,True,"[860, 597, 909, 660]"
1,handbag,0.007279746700078249,True,"[869, 597, 906, 632]"
1,handbag,0.006053977180272341,True,"[632, 219, 671, 390]"
1,cell phone,0.005902254953980446,True,"[733, 210, 750, 229]"
1,pizza,0.005850215908139944,False,"[381, 426, 429, 457]"
1,bottle,0.005823398474603891,True,"[346, 596, 380, 638]"
1,mouse,0.005749619100242853,False,"[856, 312, 889, 346]"
1,chair,0.005553381517529488,False,"[347, 560, 519, 721]"
1,cup,0.005223399959504604,True,"[856, 312, 889, 347]"
1,bottle,0.0043025510385632515,True,"[788, 416, 815, 464]"
1,chair,0.003959093242883682,False,"[406, 564, 583, 723]"
1,cell phone,0.003920880611985922,True,"[512, 515, 544, 546]"
1,handbag,0.0038069598376750946,True,"[511, 515, 544, 547]"
1,cell phone,0.0035539220552891493,True,"[660, 209, 682, 229]"
1,backpack,0.003018438583239913,True,"[650, 212, 751, 278]"
1,cup,0.0027640853077173233,True,"[792, 417, 816, 468]"
1,handbag,0.0027431061025708914,True,"[348, 591, 381, 649]"
1,handbag,0.002471743617206812,True,"[784, 550, 918, 673]"
1,handbag,0.0021112000104039907,True,"[805, 622, 1033, 706]"
1,cup,0.0020759531762450933,True,"[823, 250, 847, 281]"
1,umbrella,0.00191370933316648,False,"[506, 492, 592, 557]"
1,bottle,0.0018915676046162844,True,"[427, 228, 513, 312]"
1,handbag,0.0017198985442519188,True,"[479, 497, 535, 556]"
1,handbag,0.0017102729761973023,True,"[434, 448, 465, 491]"
1,handbag,0.0017005353001877666,True,"[456, 510, 586, 637]"
1,handbag,0.0013245895970612764,True,"[440, 189, 489, 282]"
1,handbag,0.0011728130048140883,True,"[408, 554, 572, 722]"
1,bicycle,0.0010350266238674521,False,"[473, 492, 590, 677]"
